>TMT16_LOTNO	"-2:13C+13C"	"-2:13C+15N"	-1:13C	-1:15N	+1:15N	+1:13C	"+2:15N+13C"	"+2:13C+13C"
126C	0	0	0	0	0	0	0	0
127N	0	0	0	0	0	0	0	0
127C	0	0	0	0	0	0	0	0
128N	0	0	0	0	0	0	0	0
128C	0	0	0	0	0	0	0	0
129N	0	0	0	0	0	0	0	0
129C	0	0	0	0	0	0	0	0
130N	0	0	0	0	0	0	0	0
130C	0	0	0	0	0	0	0	0
131N	0	0	0	0	0	0	0	0
131C	0	0	0	0	0	0	0	0
132N	0	0	0	0	0	0	0	0
132C	0	0	0	0	0	0	0	0
133N	0	0	0	0	0	0	0	0
133C	0	0	0	0	0	0	0	0
134N	0	0	0	0	0	0	0	0
>TMT18_LOTNO	"-2:13C+13C"	"-2:13C+15N"	-1:13C	-1:15N	+1:15N	+1:13C	"+2:15N+13C"	"+2:13C+13C"
126C	0	0	0	0	0	0	0	0
127N	0	0	0	0	0	0	0	0
127C	0	0	0	0	0	0	0	0
128N	0	0	0	0	0	0	0	0
128C	0	0	0	0	0	0	0	0
129N	0	0	0	0	0	0	0	0
129C	0	0	0	0	0	0	0	0
130N	0	0	0	0	0	0	0	0
130C	0	0	0	0	0	0	0	0
131N	0	0	0	0	0	0	0	0
131C	0	0	0	0	0	0	0	0
132N	0	0	0	0	0	0	0	0
132C	0	0	0	0	0	0	0	0
133N	0	0	0	0	0	0	0	0
133C	0	0	0	0	0	0	0	0
134N	0	0	0	0	0	0	0	0
134C	0	0	0	0	0	0	0	0
135N	0	0	0	0	0	0	0	0
